"name","stat","opt","value","lb","gap.bkv.","gap.lb.","time","nodes","iterations","type"
"BARTHOLD.IN2-805","PROV","OPT",7,7,0,0,9.73,7336,286213,"PA1"
"BOWMAN8.IN2-20","PROV","OPT",5,5,0,0,0,0,1,"PA1"
"BUXEY.IN2-27","PROV","OPT",13,13,0,0,1.43,1100,27887,"PA1"
"BUXEY.IN2-30","PROV","OPT",12,12,0,0,0.91,1035,47873,"PA1"
"BUXEY.IN2-33","PROV","OPT",11,11,0,0,0.17,0,649,"PA1"
"BUXEY.IN2-36","PROV","OPT",10,10,0,0,1.06,1773,64829,"PA1"
"BUXEY.IN2-41","PROV","OPT",8,8,0,0,0.12,0,127,"PA1"
"BUXEY.IN2-47","PROV","OPT",7,7,0,0,0.2,232,2808,"PA1"
"BUXEY.IN2-54","PROV","OPT",7,7,0,0,0.12,0,518,"PA1"
"GUNTHER.IN2-41","PROV","OPT",14,14,0,0,1.08,1642,29017,"PA1"
"GUNTHER.IN2-44","PROV","OPT",12,12,0,0,2.53,992,102609,"PA1"
"GUNTHER.IN2-49","PROV","OPT",11,11,0,0,3.26,5327,107515,"PA1"
"GUNTHER.IN2-54","PROV","OPT",9,9,0,0,0.16,0,586,"PA1"
"GUNTHER.IN2-61","PROV","OPT",9,9,0,0,0.1,0,622,"PA1"
"GUNTHER.IN2-69","PROV","OPT",8,8,0,0,0.05,0,323,"PA1"
"GUNTHER.IN2-81","PROV","OPT",7,7,0,0,0.04,0,449,"PA1"
"HAHN.IN2-2004","PROV","OPT",8,8,0,0,0.07,0,359,"PA1"
"HAHN.IN2-2338","PROV","OPT",7,7,0,0,0.1,0,719,"PA1"
"HAHN.IN2-2806","PROV","OPT",6,6,0,0,0.09,21,695,"PA1"
"HAHN.IN2-3507","PROV","OPT",5,5,0,0,0.03,0,385,"PA1"
"HAHN.IN2-4676","PROV","OPT",4,4,0,0,0.02,0,278,"PA1"
"HESKIA.IN2-138","PROV","OPT",8,8,0,0,0.03,0,182,"PA1"
