"name","stat","opt","value","lb","gap.bkv.","gap.lb.","time","nodes","iterations","type"
"BUXEY.IN2-7","PROV","OPT",47,47,0,0,0.77,5812,55040,"PA1"
"BUXEY.IN2-8","PROV","OPT",41,41,0,0,0.53,3218,24541,"PA1"
"BUXEY.IN2-9","PROV","OPT",37,37,0,0,0.85,3014,57711,"PA1"
"BUXEY.IN2-10","PROV","OPT",34,34,0,0,0.82,4067,42442,"PA1"
"BUXEY.IN2-11","PROV","OPT",32,32,0,0,4.95,25433,346312,"PA1"
"BUXEY.IN2-12","PROV","OPT",28,28,0,0,1.17,2229,31999,"PA1"
"BUXEY.IN2-13","PROV","OPT",27,27,0,0,3.35,10023,226269,"PA1"
"BUXEY.IN2-14","PROV","OPT",25,25,0,0,0.79,1652,26786,"PA1"
"GUNTHER.IN2-6","PROV","OPT",84,84,0,0,0.42,1391,23716,"PA1"
"GUNTHER.IN2-7","PROV","OPT",72,72,0,0,1.53,3190,91334,"PA1"
"GUNTHER.IN2-8","PROV","OPT",63,63,0,0,1.31,3528,68046,"PA1"
"GUNTHER.IN2-9","PROV","OPT",54,54,0,0,1.53,4840,97807,"PA1"
"GUNTHER.IN2-10","PROV","OPT",50,50,0,0,1.82,13737,91911,"PA1"
"GUNTHER.IN2-11","PROV","OPT",48,48,0,0,4.48,9089,260357,"PA1"
"GUNTHER.IN2-12","PROV","OPT",44,44,0,0,4.78,7394,208616,"PA1"
"GUNTHER.IN2-13","PROV","OPT",42,42,0,0,8.15,9277,339797,"PA1"
"GUNTHER.IN2-14","PROV","OPT",40,40,0,0,1.22,1934,18646,"PA1"
"GUNTHER.IN2-15","PROV","OPT",40,40,0,0,1.17,1651,21295,"PA1"
"KILBRID.IN2-3","PROV","OPT",184,184,0,0,0.03,0,54,"PA1"
"KILBRID.IN2-4","PROV","OPT",138,138,0,0,0.04,131,976,"PA1"
"KILBRID.IN2-5","PROV","OPT",111,111,0,0,0.07,139,1008,"PA1"
"KILBRID.IN2-6","PROV","OPT",92,92,0,0,0.09,134,1641,"PA1"
"KILBRID.IN2-7","PROV","OPT",79,79,0,0,0.15,305,4027,"PA1"
"KILBRID.IN2-8","PROV","OPT",69,69,0,0,0.09,145,1584,"PA1"
"KILBRID.IN2-9","PROV","OPT",62,62,0,0,0.13,326,2630,"PA1"
"KILBRID.IN2-10","PROV","OPT",56,56,0,0,0.18,337,2767,"PA1"
"KILBRID.IN2-11","PROV","OPT",55,55,0,0,0.14,194,2048,"PA1"
"LUTZ1.IN2-8","PROV","OPT",1860,1860,0,0,0.87,2731,61686,"PA1"
"LUTZ1.IN2-9","PROV","OPT",1638,1638,0,0,2.31,5447,127881,"PA1"
"LUTZ1.IN2-10","PROV","OPT",1526,1526,0,0,3.08,8239,167370,"PA1"
"LUTZ1.IN2-11","PROV","OPT",1400,1400,0,0,0.74,1547,31660,"PA1"
"LUTZ1.IN2-12","PROV","OPT",1400,1400,0,0,0.62,1524,17231,"PA1"
"LUTZ2.IN2-9","PROV","OPT",54,54,0,0,6.28,3645,164739,"PA1"
"LUTZ2.IN2-10","PROV","OPT",49,49,0,0,1.33,2257,48820,"PA1"
"LUTZ2.IN2-11","PROV","OPT",45,45,0,0,4.82,4206,102499,"PA1"
"LUTZ2.IN2-12","PROV","OPT",41,41,0,0,10.53,16563,213020,"PA1"
"LUTZ2.IN2-13","PROV","OPT",38,38,0,0,6.36,6311,143139,"PA1"
"LUTZ2.IN2-14","PROV","OPT",35,35,0,0,12.3,15322,338050,"PA1"
"LUTZ2.IN2-15","PROV","OPT",33,33,0,0,35.1,32069,733730,"PA1"
"LUTZ2.IN2-16","PROV","OPT",31,31,0,0,6.99,4278,147396,"PA1"
"LUTZ2.IN2-17","PROV","OPT",29,29,0,0,78.07,47591,1592654,"PA1"
"LUTZ2.IN2-18","FEAS","OPT",28,27,0,0,600,46513,9746666,"PA1"
"LUTZ2.IN2-19","PROV","OPT",26,26,0,0,101.4,151440,2824708,"PA1"
"LUTZ2.IN2-20","PROV","OPT",25,25,0,0,124.42,62062,2158423,"PA1"
"LUTZ2.IN2-21","PROV","OPT",24,24,0,0,18.56,6145,338467,"PA1"
"LUTZ2.IN2-22","PROV","OPT",23,23,0,0,50.34,20500,938285,"PA1"
"LUTZ2.IN2-23","PROV","OPT",22,22,0,0,31.56,21270,483123,"PA1"
"LUTZ2.IN2-24","FEAS","SUB",22,21,1,1,600.14,209722,8779150,"PA1"
"LUTZ2.IN2-25","FEAS","SUB",21,19,1,1,600.12,116191,8951996,"PA1"
"LUTZ2.IN2-26","FEAS","SUB",20,19,1,1,600.1,89066,8114532,"PA1"
"LUTZ2.IN2-27","FEAS","OPT",19,18,0,0,600.14,107217,8518619,"PA1"
"LUTZ2.IN2-28","FEAS","SUB",19,17,1,1,600.12,115916,7543873,"PA1"
"SAWYER30.IN2-7","PROV","OPT",47,47,0,0,0.73,5153,50664,"PA1"
"SAWYER30.IN2-8","PROV","OPT",41,41,0,0,0.19,1283,9553,"PA1"
"SAWYER30.IN2-9","PROV","OPT",37,37,0,0,2.89,12718,236859,"PA1"
